ekis_id;short_name;lng;lat;main;fulltext;okrug
13759;ГБОУ Школа № 1384;37.5156971321406;55.803407358287295;False;город Москва, Песчаная улица, дом 2А;Северный
13759;ГБОУ Школа № 1384;37.515422807467;55.7982729216494;True;город Москва, Новопесчаная улица, дом 15;Северный
13697;ГБОУ Школа № 429;37.7319009450381;55.762908574878104;False;город Москва, 5-я улица Соколиной Горы, дом 5;Восточный
13697;ГБОУ Школа № 429;37.7307526344052;55.771887851363104;False;город Москва, 9-я улица Соколиной Горы, дом 5А;Восточный
13697;ГБОУ Школа № 429;37.7295279638533;55.766281353603;False;город Москва, проспект Будённого, дом 20А;Восточный
13697;ГБОУ Школа № 429;37.734462182167896;55.762172472200795;False;город Москва, проспект Будённого, дом 30/8;Восточный
13697;ГБОУ Школа № 429;37.7378169496287;55.7632943183269;False;город Москва, 5-я улица Соколиной Горы, дом 14;Восточный
13697;ГБОУ Школа № 429;37.732832215542004;55.77456149309171;False;город Москва, улица Бориса Жигулёнкова, дом 11;Восточный
13697;ГБОУ Школа № 429;37.734525053281295;55.768994707752704;False;город Москва, 8-я улица Соколиной Горы, дом 11А;Восточный
13697;ГБОУ Школа № 429;37.7363068365007;55.7632761958813;False;город Москва, 5-я улица Соколиной Горы, дом 12;Восточный
13697;ГБОУ Школа № 429;37.7351574625851;55.7733809589479;False;город Москва, 9-я улица Соколиной Горы, дом 17А;Восточный
13697;ГБОУ Школа № 429;37.733375405945;55.7612698671284;False;город Москва, Буракова улица, дом 23А;Восточный
13697;ГБОУ Школа № 429;37.7324773013415;55.76787943918701;False;город Москва, 8-я улица Соколиной Горы, дом 3;Восточный
13697;ГБОУ Школа № 429;37.7261597859304;55.7768188630461;False;город Москва, Вольная улица, дом 5Б;Восточный
13697;ГБОУ Школа № 429;37.7362615687843;55.761935904037706;False;город Москва, проспект Будённого, дом 47;Восточный
13697;ГБОУ Школа № 429;37.7314303805842;55.76828512862871;False;город Москва, проспект Будённого, дом 29А;Восточный
13697;ГБОУ Школа № 429;37.7433818150226;55.7632768540318;False;город Москва, улица Уткина, дом 39Б;Восточный
13697;ГБОУ Школа № 429;37.730489208019;55.7692630214297;False;город Москва, проспект Будённого, дом 27А;Восточный
13697;ГБОУ Школа № 429;37.7332554078742;55.768568292739495;False;город Москва, 8-я улица Соколиной Горы, дом 5А;Восточный
13697;ГБОУ Школа № 429;37.725022786080295;55.77557022665261;True;город Москва, проспект Будённого, дом 15А;Восточный
13692;ГБОУ Школа № 1553 имени В.И. Вернадского;37.6490567630106;55.72098066683501;True;город Москва, Дербеневская улица, дом 13;Южный
9350;ГБОУ Школа № 536;37.59970124237621;55.6495662699292;False;город Москва, Азовская улица, дом 31;Юго-Западный
9350;ГБОУ Школа № 536;37.601734023720496;55.6432970914586;False;город Москва, Балаклавский проспект, дом 18;Юго-Западный
9350;ГБОУ Школа № 536;37.5996910756233;55.6509757177854;False;город Москва, Азовская улица, дом 27;Юго-Западный
9350;ГБОУ Школа № 536;37.5966947282501;55.644403651351396;False;город Москва, Азовская улица, дом 39, корпус 2;Юго-Западный
9350;ГБОУ Школа № 536;37.5897447842054;55.64971794111239;False;город Москва, улица Каховка, дом 5;Юго-Западный
9350;ГБОУ Школа № 536;37.5815351829771;55.649376583073504;False;город Москва, улица Каховка, дом 13, корпус 10;Юго-Западный
9350;ГБОУ Школа № 536;37.5900261659543;55.648933510778505;False;город Москва, улица Каховка, дом 7, корпус 3;Юго-Западный
9350;ГБОУ Школа № 536;37.5840386738517;55.64626443336429;False;город Москва, Балаклавский проспект, дом 32А;Юго-Западный
9350;ГБОУ Школа № 536;37.580215806954996;55.6492860183225;False;город Москва, Керченская улица, дом 9, корпус 1;Юго-Западный
9350;ГБОУ Школа № 536;37.5813146781015;55.6488524726946;False;город Москва, улица Каховка, дом 13, корпус 11;Юго-Западный
9350;ГБОУ Школа № 536;37.5970981259519;55.650673939478395;False;город Москва, Азовская улица, дом 24, корпус 2;Юго-Западный
9350;ГБОУ Школа № 536;37.598737246649996;55.643461444127205;False;город Москва, Балаклавский проспект, дом 22;Юго-Западный
9350;ГБОУ Школа № 536;37.5954475627143;55.643911974221794;True;город Москва, Азовская улица, дом 41;Юго-Западный
